Born,City,Pr/St,Cntry,Nat,Ht,Wt,DftYr,DftRd,Ovrl,Hand,Debut,Age,Seasons,NHLid,CorsicaID,H-Ref Name,Last Name,First Name,Position,Team,GP,G,A,A1,PTS,Rnk,Gap,PTS/GP,PAX,GC,+/-,E+/-,PIM,Shifts,TOI,TOI,TOI,TOI,TOI/GP,TOI%,IPP%,iCF,iCF,iCF,iFF,iFF,iSF,iSCF,iHDCF,iRush,iReb,iDS,ixG,sDist,Pass,TOff,TOff/60,OZS,NZS,DZS,ZS%,iHF,iHF,iHA,iHDf,iMiss,iGVA,iTKA,iBLK,BLK%,iFOW,iFOL,FO%,dzFOW,dzFOL,nzFOW,nzFOL,ozFOW,ozFOL,FOW.Up,FOL.Up,FOW.Down,FOL.Down,FOW.Close,FOL.Close,Hat,OTG,1G,GWG,ENG,PSG,PSA,G.Bkhd,G.Dflct,G.Slap,G.Snap,G.Tip,G.Wrap,G.Wrst,CBar ,Post,Over,Wide,S.Bkhd,S.Dflct,S.Slap,S.Snap,S.Tip,S.Wrap,S.Wrst,iPenT,iPenD,iPENT,iPENT2,iPENT5,iPEND,iPEND2,iPEND5,iPenDf,NPD,Min,Maj,Match,Misc,Game,CF,CA,FF,FA,SF,SA,xGF,xGA,GF,GA,SH%,SV%,PDO,CF,CA,FF,FA,SF,SA,GF,GA,SCF,SCA,HDCF,HDCA,HDGF,HDGA,PENT,PEND,OPS,DPS,PS,GS,GS/G,Star,OWAR,DWAR,WAR,SOS,SOG,SOGDG,Grit,DAP,Pres,CPP,CPP,Pace,MGL,Injuries,CHIP,NMC,Status,Salary,Cap Hit,GP,G,A,PTS,+/-,PIM,Shot,TOI,OPS,DPS,PS,
1990-06-07,Winnipeg,MB,CAN,CAN,75,210,2008,3,69,R,2011,27,7,8474628,MICHAEL.STONE,Michael Stone,Stone,Michael,D,CGY,82,3,7,5,10,17,74,0.12,-14.4,3.5,-11,0.4,28,1759,82396,1373.3,1373.23,1373,16.75,28.08,24.40%,251,251,250,160,159,98,57,2,1,9,10,4.02,55.4286,113.3,364.3,15.9,381,447,469,44.80%,106,105,94,11,61,31,15,158,12.80%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,6,53,1,0,55,6,0,0,36,14,10,14,14,0,9,9,0,-4,-0.8,14,0,0,0,0,1219,1471,907,1074,624,732,54.96,72.88,41,69,6.60%,0.906,0.971,1222,1473,909,1075,625,733,41,69,593,700,240,260,31,36,102,118,-0.4,2.5,2.2,18.7,0.23,0.7003,0.17,-0.02,0.15,,,,292,8.6,1.40%,7.2,9.8,117.5,,,,NTC,UFA,"$3,500,000","$3,500,000",425,29,83,112,-46,238,652,8141,5.5,14.8,20.4,7.2
1981-03-24,Bolton,CT,USA,USA,75,205,2000,1,13,L,2002,36,15,8468493,RON.HAINSEY,Ron Hainsey,Hainsey,Ron,D,TOR,80,4,19,8,23,12,46,0.29,0.7,7.8,12,-5.1,20,2215,104951,1749.2,1749.18,1749,21.86,36.52,29.90%,190,190,190,116,116,73,53,3,5,9,14,3.94,65.3288,148.8,338.8,11.6,429,671,890,32.50%,91,91,66,25,43,85,18,169,9.50%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,2,2,0,0,0,0,1,1,41,1,0,24,22,0,0,26,10,2,10,10,0,2,2,0,-8,1.2,10,0,0,0,0,1406,2074,1057,1605,763,1138,74.06,114.67,77,98,10.10%,0.914,1.015,1402,2074,1053,1605,759,1137,77,98,746,1090,288,430,42,58,75,80,0.6,4.2,4.8,20.6,0.26,1.2255,0.54,-0.18,0.36,,,,280,10.9,1.50%,21,23.2,119.4,4,Illness,195,M-NTC,UFA,"$3,600,000","$3,000,000",987,53,223,276,-61,410,1292,20909,10.5,41,51.5,21
1980-09-26,San Francisco,CA,USA,USA,75,217,2000,1,18,L,2002,37,15,8468498,BROOKS.ORPIK,Brooks Orpik,Orpik,Brooks,D,WSH,81,0,10,3,10,19,77,0.12,-5.7,2.9,-9,-18.1,68,1797,94113,1568.6,1568.4,1569,19.36,32.4,21.70%,133,133,133,75,75,54,33,2,0,4,4,1.84,59.5556,56.2,189.2,7.2,384,500,694,35.60%,218,218,113,105,21,44,17,168,10.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,18,1,0,28,7,1,0,17,30,13,31,29,2,14,12,2,-17,-10.2,28,2,0,0,0,1127,1889,820,1412,576,994,48.94,95.13,46,82,8.00%,0.918,0.997,1124,1885,818,1409,575,992,44,81,580,1014,197,411,20,49,110,91,-0.9,2.3,1.3,-0.5,-0.01,0.367,-1.42,-0.2,-1.62,,,,456,8.4,0.00%,3.2,8,115.4,4,Lower body,195,,UFA,"$5,500,000","$5,500,000",982,16,169,185,71,940,725,19329,-1.4,43.2,41.8,3.2
1995-03-30,SANDY,UT,USA,USA,75,203,,,,L,2017,22,1,8480771,DANIEL.BRICKLEY,Daniel Brickley,Brickley,Daniel,D,LAK,1,0,1,0,1,30,91,1,0,0.3,1,0.3,0,14,648,10.8,10.8,11,10.8,19.01,100.00%,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,5.6,4,1,2,66.70%,1,1,0,1,0,0,0,1,20.00%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,8,7,4,4,2,3,0.19,0.06,1,0,50.00%,1,1.5,8,7,4,4,2,3,1,0,5,1,2,0,1,0,0,1,0.1,0.1,0.2,0.8,0.8,0.0006,0,0,0,,,,2,0,0.00%,1,1,83.3,,,,,RFA,"$925,000","$925,000",1,0,1,1,1,0,0,11,0.1,0.1,0.2,1
1993-06-08,Dubuque,IA,USA,USA,74,199,2013,5,127,R,2017,24,1,8477359,TUCKER.POOLMAN,Tucker Poolman,Poolman,Tucker,D,WPG,24,1,1,1,2,26,89,0.08,0,0.8,2,1.4,0,394,18091,301.5,301.52,302,12.56,21.39,22.20%,63,63,63,46,46,27,12,1,2,2,4,1.02,56.1852,33.6,96.6,19.2,112,91,108,50.90%,20,20,23,-3,19,14,5,18,8.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,17,1,0,9,3,0,0,14,0,1,0,0,0,1,1,0,1,2.4,0,0,0,0,0,304,267,217,201,155,159,11.63,10.75,9,7,5.80%,0.956,1.014,304,266,215,200,153,158,9,7,135,122,56,41,6,1,13,15,-0.1,0.7,0.7,6.6,0.28,0.0226,0.03,0.05,0.07,,,,38,0,1.30%,2,2.5,113.6,,,,,RFA,"$925,000","$925,000",24,1,1,2,2,0,27,302,-0.1,0.7,0.7,2
1981-01-12,Stockholm,,SWE,SWE,72,194,2000,1,29,L,2003,37,14,8468509,NIKLAS.KRONWALL,Niklas Kronwall,Kronwall,Niklas,D,DET,79,4,23,8,27,11,36,0.34,-10.6,8.7,-14,1.7,36,1908,87794,1463.2,1444.92,1463,18.52,30.96,45.80%,150,151,151,97,97,76,49,8,5,4,9,3.73,57.6184,133.1,283.1,11.8,647,424,282,69.60%,82,81,65,16,21,52,14,107,10.70%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0,1,1,19,3,0,37,8,1,0,27,18,5,16,16,0,5,5,0,-13,-3.6,18,0,0,0,0,1350,1210,1035,896,752,635,65.79,53.87,59,59,7.80%,0.907,0.986,1365,1222,1046,904,759,641,62,59,678,571,263,212,34,27,88,67,1.4,2.4,3.7,21.5,0.27,0.5842,-0.61,0.26,-0.36,,,,225,5.3,2.00%,23.4,26.3,106.3,3,Groin,174,,UFA,"$3,500,000","$4,750,000",874,80,325,405,0,524,1201,19105,30,40.2,70.2,23.4
1990-05-30,Marshfield,MA,USA,USA,69,170,2008,4,95,L,2013,27,5,8474660,DAVID.WARSOFSKY,David Warsofsky,Warsofsky,David,D,COL,16,0,5,2,5,21,92,0.31,2.5,1.5,4,0.5,0,296,12859,214.3,214.32,214,13.39,22.61,55.60%,40,40,40,24,24,18,10,0,1,4,5,0.6,51.7778,42.4,82.4,23.1,46,42,57,44.70%,1,1,13,-12,6,7,4,22,12.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,5,1,0,0,11,0,1,0,0,0,1,1,0,1,1.9,0,0,0,0,0,193,227,145,158,99,103,6.87,7.59,9,7,9.10%,0.932,1.023,193,227,146,158,100,103,9,7,96,107,33,30,4,3,15,17,0.3,0.8,1,5.4,0.34,0.0193,0,0.04,0.04,,,,23,0,0.00%,5,5.4,117.6,,,,,UFA,"$650,000","$675,000",55,2,9,11,-6,8,89,869,0.3,1.2,1.6,5
1990-06-07,Chatham,ON,CAN,CAN,73,182,2008,4,114,L,2010,27,8,8474673,TJ.BRODIE,T.J. Brodie,Brodie,TJ,D,CGY,73,4,28,7,32,8,52,0.44,0.4,10.1,-16,0.5,18,1991,103719,1728.7,1728.65,1729,23.68,39.15,43.20%,260,260,260,173,173,118,84,16,7,18,25,6.7,53.2203,157.2,417.2,14.5,607,550,510,54.30%,24,24,55,-31,55,68,48,99,7.20%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,1,2,1,51,6,1,38,13,2,0,58,9,9,9,9,0,8,8,0,0,6.2,9,0,0,0,0,1774,1647,1320,1269,911,892,90.56,89.32,74,85,8.10%,0.905,0.986,1776,1646,1324,1268,913,893,74,85,895,832,381,334,47,49,107,97,1.5,3,4.6,34.1,0.47,2.2662,-0.18,0.13,-0.05,,,,141,8,2.10%,30.2,33.2,118.7,9,Upper body,510,,UFA,"$4,838,000","$4,650,400",491,35,178,213,-22,134,601,11309,13.1,23.7,36.8,30.2
1981-03-05,Minneapolis,MN,USA,USA,73,200,2000,2,62,L,2003,36,14,8468542,PAUL.MARTIN,Paul Martin,Martin,Paul,D,SJS,14,0,2,2,2,25,65,0.14,-3.2,0.6,3,0.2,2,270,12399,206.7,206.65,207,14.76,25.11,25.00%,16,16,16,11,11,6,6,1,1,2,3,0.24,58.6667,60.5,76.5,22.2,90,73,64,58.40%,8,8,13,-5,5,7,9,17,10.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,4,1,1,1,1,0,0,0,0,0,-0.1,1,0,0,0,0,242,196,168,143,111,101,9.08,7.92,8,5,7.20%,0.95,1.023,241,196,167,143,110,101,8,5,110,99,43,37,4,1,11,15,-0.1,0.7,0.7,5.5,0.39,0.0229,0.02,-0.1,-0.08,,,,27,17,0.00%,1.8,2,127.2,4,Ankle,195,,UFA,"$4,400,000","$4,850,000",870,50,270,320,126,238,946,19749,16.1,56.1,72.2,1.8
1990-06-20,Sterling Heights,MI,USA,USA,75,224,2008,5,128,R,2012,27,5,8474688,GREG.PATERYN,Greg Pateryn,Pateryn,Greg,D,DAL,73,1,12,8,13,16,66,0.18,0.6,4.2,6,5.3,50,1925,85918,1432,1432.28,1432,19.62,32.76,25.00%,216,216,216,144,144,100,54,6,1,10,11,3.94,61.23,178.4,394.4,16.5,297,504,647,31.50%,155,155,102,53,44,38,5,148,12.60%,0,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,41,1,0,32,7,0,0,60,22,8,23,21,2,10,8,2,-14,-7.4,20,2,0,0,0,1159,1471,842,1024,603,747,51.81,59.97,52,70,8.60%,0.906,0.993,1151,1469,836,1023,598,748,50,70,552,704,221,237,30,27,104,100,-0.3,3.6,3.3,20.6,0.28,0.6386,-0.74,1.6,0.86,,,,355,8,0.50%,8,11.5,110.2,,,,,UFA,"$850,000","$800,000",167,3,26,29,-3,115,184,2868,-0.1,5.9,5.8,8
