#,DOB ,Birth City ,S/P ,Ctry ,Nat,HT ,Wt ,C ,Rk ,Draft ,Rnd ,Ovrl ,Age,First Name,Last Name,End Tm,All Tm,GP ,GS ,W,L ,OT ,SA ,Sv ,GAA,SV%,G ,A ,PIM ,MIN,SO ,StGA,StSV,StMIN,QS,RBS,PULL,StSV%,StGAA,QS%,GR,ReGA,ReSV,ReMIN,ReGAA,ReSV%,Cap Hit,Days,Actual,GVT-GP,GGVT,DGVT,SGVT,GVT,GVS,GPS,ESA,ESV,ESSV%,SHSA,SHSV,SHSV%,PPSA,PPSV,PPSV%,SOW,SOL,SSA,SGA,SOSV%,Dist,LowS,LowG,MedS,MedG,HighS,HighG,AdjSV%,QoC,Gsupp,ExpSV%,1st,2nd,3rd,Ginj,Injury,CHIP
34,1990-08-07,Fredericton,NB,CAN,CAN,74,195,L,,2008,2,34,25,Jake,Allen,STL,STL,47,44,26,15,3,1260,1159,2.35,.920,0,0,0,155002,6,97,1113,2474,25,6,6,.920,2.35,56.8%,3,4,46,109,2.20,.920,2.35,186,2.35,43.1,11.4,-0.1,2.2,13.6,9.8,8.2,1030,954,.926,35,31,.886,195,174,.892,4,0,29,6,.793,36.0,533,18,333,17,294,66,0.920,.0846,2.75,.004,8,4,1,20,"Lower body, Knee",573
31,1989-10-02,Herning,,DNK,DNK,76,220,L,,2012,3,87,26,Frederik,Andersen,ANA,ANA,43,37,22,9,7,1086,998,2.30,.919,0,1,2,137876,3,81,950,2165,24,5,2,.921,2.24,64.9%,6,7,48,133,3.16,.873,1.15,186,1.15,38.3,9.7,0.2,-1.4,8.5,7.2,7.0,877,814,.928,22,19,.864,187,165,.882,1,3,12,6,.500,33.0,502,18,252,22,244,48,0.915,.0859,2.89,.005,3,3,7,11,"Concussion, Upper body, Flu",154
41,1981-05-21,Park Ridge,IL,USA,USA,74,184,L,,2001,3,73,34,Craig,Anderson,OTT,OTT,60,60,31,23,5,1915,1754,2.78,.916,0,2,0,208628,4,161,1754,3479,31,8,4,.916,2.78,51.7%,0,0,0,0,0.00,.000,4.2,186,4.2,58,9.0,-2.0,-0.7,6.4,-1.4,11.6,1601,1480,.924,31,30,.968,283,244,.862,6,3,25,9,.640,32.1,860,21,480,52,414,88,0.912,.0848,3.07,.001,5,4,6,4,Lower body,205
32,1987-07-25,Salt Lake City,UT,USA,USA,70,183,L,,2006,4,120,28,Richard,Bachman,VAN,VAN,1,1,1,0,0,31,28,3.01,.903,0,0,0,3592,0,3,28,60,0,0,0,.903,3.00,0.0%,0,0,0,0,0.00,.000,0.575,33,0.102,1,-0.2,0.0,0.0,-0.2,-0.2,0.1,26,23,.885,1,1,1.000,4,4,1.000,,,,,,24.2,15,0,5,1,8,2,0.896,.0882,4.00,-.009,0,0,0,,,
32,1978-02-13,Helsinki,,FIN,FIN,74,192,L,,,,,37,Niklas,Backstrom,CGY,CGY,4,3,2,2,0,109,96,3.35,.881,0,0,0,13963,0,8,79,180,2,1,0,.908,2.67,66.7%,1,5,17,53,5.66,.773,6.834,186,3.417,3.9,-2.7,0.1,0.0,-2.6,-8.7,0.2,85,76,.894,2,2,1.000,22,18,.818,,,,,,32.4,41,2,29,1,26,10,0.891,.0833,2.67,-.036,1,0,0,,,
45,1988-08-07,Laval,QC,CAN,CAN,72,184,L,,2006,1,11,27,Jonathan,Bernier,TOR,TOR,38,36,12,21,3,1114,1011,2.88,.908,0,0,2,128806,3,97,971,2044,19,8,3,.909,2.85,52.8%,2,6,40,103,3.50,.870,4.15,186,4.15,35.8,-1.8,-0.6,-0.3,-2.7,-10.4,5.6,938,854,.910,27,23,.852,149,134,.899,1,1,8,3,.625,34.6,472,25,305,30,234,48,0.904,.0864,2.47,-.006,4,6,4,5,Lower body,253
20,1987-01-03,Bulach,,CHE,CHE,76,210,L,,2006,4,106,29,Reto,Berra,COL,COL,14,12,5,8,0,374,345,2.41,.922,0,1,2,43243,2,28,328,663,7,2,2,.921,2.53,58.3%,2,1,17,58,1.03,.944,2.9,186,1.24,12,4.0,-0.2,0.0,3.8,2.3,2.5,307,289,.941,8,6,.750,59,50,.847,,,,,,31.4,170,8,94,13,81,8,0.921,.0848,2.50,.007,2,1,1,25,Ankle,884
30,1991-07-13,Repentigny,QC,CAN,CAN,73,177,L,Y,2009,4,95,24,Jean-Francois,Berube,NYI,NYI,7,6,3,2,1,210,192,2.71,.914,0,0,0,23922,0,17,186,370,4,1,0,.916,2.76,66.7%,1,1,6,29,2.07,.857,0.563,186,0.563,6.7,0.6,-0.1,0.0,0.5,0.5,1.2,171,158,.924,7,6,.857,32,28,.875,0,1,3,1,.667,33.8,82,0,56,6,54,12,0.921,.0845,2.33,-.001,1,1,1,27,Lower body,185
50,1993-07-11,Richmond Hill,ON,CAN,CAN,73,167,L,Y,2011,3,88,22,Jordan,Binnington,STL,STL,1,0,0,0,0,4,3,4.69,.750,0,0,0,767,0,,,,,,,.000,0.00,0.0%,1,1,3,13,4.62,.750,0.903,20,0.097,0.2,-0.5,0.0,0.0,-0.5,-0.6,-0.1,4,3,.750,0,0,,0,0,,,,,,,26.4,0,0,3,1,0,0,,.0773,,-.173,0,0,0,,,
30,1986-11-21,Denver,CO,USA,USA,79,216,L,,2005,3,85,29,Ben,Bishop,TBL,TBL,61,60,35,21,4,1672,1549,2.06,.926,0,1,4,215078,6,122,1532,3549,41,4,3,.926,2.06,68.3%,1,1,17,36,1.67,.944,5.95,186,5.95,59.8,24.1,1.0,-1.0,24.1,12.6,12.2,1361,1267,.931,40,36,.900,271,246,.908,1,3,11,5,.545,35.7,743,18,391,28,416,77,0.926,.0856,2.87,.012,10,5,8,,,
